idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label,sweep_source
0,0.1351796264404011,0.0523384333341993,0.5100151214308846,0.1083681617369494,0.0049325402187186,0.189166116838847,40.47912097111927,27.555137590082094,4.9252672593503775,4.9252672593503775,True,64.76115272657259,7.309785203397638,0.0649192112898908,0.0022749903157587,8.821330235616593e-05,-0.0040670612677407,-1,,0,biogas_training_data.csv
1,0.0931873801475246,0.0260849829012211,0.5867019154119906,0.0606895410384048,0.0539377680687485,0.1793984124321102,42.171958398227645,37.89472116237455,3.734598220039166,3.734598220039166,True,53.84258293231473,7.356929247540707,0.050736369909979,0.0025541926370255,0.0002842623071947,-0.0035959764853894,-1,,0,biogas_training_data.csv
2,0.1073368004440733,0.2164616828582004,0.0358924854899296,0.219119509807716,0.102925285976684,0.3182642354233964,26.88354695775299,49.02489406547024,2.5226108270398373,2.5226108270398373,True,42.13288678432569,7.332185465108167,0.1746154946668991,0.0012996558060573,0.0018693299965495,-0.0017229625879277,-1,,0,biogas_training_data.csv
3,0.1603525848689683,0.2695584144330508,0.1063391393696234,0.095760696245026,0.3404928559681535,0.0274963091151776,40.222794039807056,41.44257221107815,3.388419531759687,3.388419531759687,True,50.48530924887367,7.365077139816622,0.0459458397840578,0.0019404600606415,0.000333728686561,-0.0032273406844063,-1,,0,biogas_training_data.csv
4,0.4860929193729584,0.0395507517289189,0.3114456660284548,0.1195960278972895,0.0294817155999888,0.0138329193723892,27.56227265351092,28.015437515822686,4.198237368330677,4.198237368330677,True,48.01979312666833,7.204684618147222,0.0887097622076786,0.0006699571485819,-9.002337805189943e-05,-0.0042580093139178,-1,,0,biogas_training_data.csv
5,0.3033871246565742,0.2932157240650728,0.0440693388388734,0.0089471795260574,0.2137408803527211,0.136639752560701,32.41596048465163,47.07059955394407,2.6447590204469607,2.6447590204469607,True,37.26549729157,7.314230849947076,0.0605044344423751,0.0012817751531693,0.0003617163861522,-0.0029100206950871,-1,,0,biogas_training_data.csv
6,0.2684096060291243,0.3177387734776281,0.0153573242472457,0.3116270702320873,0.0310145667792194,0.0558526592346949,37.87730240161329,42.9104645308332,2.9482157730668748,2.9482157730668748,True,48.95293817149785,7.399915840944971,0.0783751902865182,0.0025522157126329,0.0008018576684187,-0.0019268532652022,-1,,0,biogas_training_data.csv
7,0.0670763986174865,0.0749118888511974,0.31704025310555,0.1303548769933335,0.3921893205171616,0.0184272619152707,33.86828397654662,19.089548871391077,7.785791993529679,7.785791993529679,True,85.9175568820544,7.136246310839862,0.0744926976690861,0.0006805947834243,-7.686483384715765e-05,-0.0063005276044892,-1,,0,biogas_training_data.csv
8,0.2743787277313499,0.260882143239325,0.2084558074462051,0.1919636698440234,0.0398893083450305,0.0244303433940658,41.55262343985165,35.26657596488259,3.7413221461651545,3.7413221461651545,True,54.501670084210936,7.36981992645108,0.0541010989829924,0.002482062208948,0.0002843022596248,-0.003162014422803,-1,,0,biogas_training_data.csv
9,0.4178986501250372,0.1643133528518364,0.0945753653483097,0.1857260558177122,0.028012925686523,0.1094736501705811,40.161754801707474,24.181038725194732,4.766650968974791,4.766650968974791,True,61.14591837944222,7.351987834912968,0.0881535209626787,0.0027111049973125,0.0001843283510251,-0.0030502132314005,-1,,0,biogas_training_data.csv
10,0.2473845576923033,0.077811626401411,0.2771021417255541,0.2764980097716149,0.0338338496581296,0.0873698147509869,44.41396048789807,45.72484485288791,2.775991116214868,2.775991116214868,True,47.249314160298844,7.466947761540833,0.0681481181736526,0.0045004154038819,0.0009535627686326,-0.0016870245884412,-1,,0,biogas_training_data.csv
11,0.1768125093069698,0.2151724356163733,0.0927639020846583,0.0687144540561693,0.2686419701195459,0.1778947288162832,40.56766994147524,17.785548314078703,7.276727042240217,7.276727042240217,True,79.39677660721192,7.259428251563408,0.0790368920223328,0.0020436906211198,-0.0001151395484945,-0.0044283513891121,-1,,0,biogas_training_data.csv
12,0.2315408635225366,0.1588005996453302,0.0043324905824074,0.3559804020446288,0.1360884473174733,0.1132571968876235,28.085789841350955,37.32195812969819,3.281704023611326,3.281704023611326,True,52.87209998953623,7.324209652778723,0.1641766288435595,0.001265498157781,0.0010260039633966,-0.0020359382547728,-1,,0,biogas_training_data.csv
13,0.3746456144138647,0.1083131839028642,0.0131204567888469,0.234218988961238,0.2174114328029445,0.0522903231302416,39.89524311815634,48.7003892973684,2.415235837576116,2.415235837576116,True,40.5445864309364,7.441861239554811,0.0743322095019703,0.003241196087801,0.0010890915546968,-0.0015634136253868,-1,,0,biogas_training_data.csv
14,0.1276654702021001,0.0288989374860128,0.1008769976133147,0.3770941737341536,0.055433439935427,0.3100309810289916,31.51650716276304,24.81838824139476,4.780280374712889,4.780280374712889,True,72.07208529427089,7.33098277107716,0.4022946011455008,0.0020255941588765,0.0032546343369367,-0.0021918565080126,-1,,0,biogas_training_data.csv
