idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
38,0.01847935825975789,0.005560538802015966,0.01717754014743098,0.666174105571761,0.2790372588140289,0.013571198405005414,38.05198196417197,13.541175207854103,9.9922239115318,9.9922239115318,True,147.14219657051768,7.350641696351937,0.3219475454300427,0.0029439198928121633,0.001672512339317958,-0.0016710492672295696,-1,,0
39,0.0032502997537236598,0.001875807550412777,0.06684498677840198,0.6598120773711793,0.14345397638019974,0.12476285216608259,39.06246135714862,13.8517178692423,9.45816763450904,9.45816763450904,True,141.65165232418062,7.3656356968573045,0.4388158399981064,0.003605457415328874,0.003252466865501719,-0.0016052413384022746,-1,,0
40,0.12388928251394714,0.007988398887588267,0.00017114597005290274,0.6482042811535906,0.002389992352667778,0.2173568991221533,33.111130329658685,13.992256938051561,8.417940517043842,8.417940517043842,True,119.72340542324571,7.276481179152699,1.109628026330401,0.0021187768084478223,0.00016303621884006784,-0.0016532506801067975,-1,,0
41,0.11541726357370023,0.018023606885297076,0.029782757705244217,0.5136662368860053,0.2513702592212134,0.07173987572853961,38.23714216476374,10.953491819163794,11.677452510693968,11.677452510693968,True,143.1909644963534,7.2978541178832455,0.2507134717531042,0.0024259130853734588,-0.00043103137148593946,-0.0018316521385462916,-1,,0
42,0.0016882541435436194,0.1376935747389357,0.0008274708974393231,0.7019637274978858,0.09973062625262882,0.058096346469566795,38.7627725950923,14.075986558083255,9.64261030033026,9.64261030033026,True,145.866710507024,7.3630786712844944,0.36419365329419606,0.003361364752791628,0.0025816695661822816,-0.0016065628545664234,-1,,0
43,0.02694464337840747,0.21115659894104472,0.008240258640717247,0.6185680040166524,0.08105383714785015,0.05403665787532795,40.84902156045222,14.192509380015718,9.659191479256828,9.659191479256828,True,139.82648496550172,7.3646691533386,0.21541984745043843,0.003577785748613762,0.0008875037596194107,-0.00179596739264861,-1,,0
44,0.009801195637415296,0.005827576622923562,0.01428424532179262,0.4678590260784725,0.2594320345275089,0.24279592181188706,40.58144311239961,11.426244154025696,11.053668160708062,11.053668160708062,True,141.73678239323274,7.3349577675191115,0.3210179658491889,0.0035815626606757055,6.1834367412466e-05,-0.0016954819076897697,-1,,0
45,6.882642895358947e-05,0.039920482241928006,0.014024571535507976,0.6537038440227898,0.0015352132047237025,0.2907470625660967,31.608480220609163,13.946290537501039,8.782567002467363,8.782567002467363,True,125.13430666826999,7.225129613602579,1.526910227420722,0.0018058875609412812,-0.0028333725421067755,-0.0016236893697910758,-1,,1
46,0.048973271017196736,0.19255625785957897,0.002220101067867764,0.7477756881000301,0.0017296861542103943,0.0067449958011158015,30.043422567889596,13.96560842104081,9.704045384811355,9.704045384811355,True,138.126934746226,7.250727222750789,0.6318063406590894,0.0013761471740579023,-0.0018364984552607998,-0.0018968156734579815,-1,,0
47,0.003079795851972291,0.02973892941443315,0.046465010835425674,0.8725379401596121,0.04557723516573204,0.0026010885728247144,31.265347215977183,16.661601636965177,8.08676508485983,8.08676508485983,True,134.20100552625888,7.293350065544274,1.1235249790073711,0.0018675878507947033,0.011202750371520886,-0.002058001886125705,-1,,0
48,0.14834395924769264,0.15725050888831396,0.00027321906876362565,0.2823848622743844,0.3816990120845524,0.030048438436293016,39.13923541435992,13.620082146852448,9.807964036714578,9.807964036714578,True,110.82339169346464,7.252435409034722,0.10661774559205914,0.001805407010538721,-0.0001999268921363062,-0.0034033533774869376,-1,,0
49,0.005886265126079184,0.006172383990095943,0.019825797002466946,0.3553367697057187,0.3033844062386134,0.30939437793702573,31.541213546030825,16.496916438913644,7.569982433480967,7.569982433480967,True,99.51081626076227,7.267577208972866,0.47049144620147115,0.001716319107939543,-0.0013017910117585035,-0.0025394402860590484,-1,,0
50,0.001770975621292339,0.01298110423522688,0.006894479688906444,0.4238112735124436,0.3783531395218745,0.17618902742025633,41.967211558657056,14.110500430952406,9.290767945557356,9.290767945557356,True,126.80175716367786,7.366812944569522,0.2052304356061658,0.003958852233305415,0.0006966520252087518,-0.0020089084971534645,-1,,0
51,0.12718622246574426,0.28702873587449307,0.003564371691456196,0.4077013095836597,0.0627901003669089,0.11172926001773797,34.03319168490327,13.285089828778538,9.867045299733022,9.867045299733022,True,114.28522210819645,7.22857369234135,0.19747540528609345,0.0014640888845403885,-0.0008989934026640597,-0.00295311928755129,-1,,0
52,0.30699295920180203,0.0017673102105405685,0.00658628074718453,0.607591523674852,0.074885255824709,0.002176670340911678,39.492676614349335,11.599670010882035,10.114944352714131,10.114944352714131,True,131.65987057509943,7.3522705572011935,0.2757593400379484,0.003033933528814873,-4.361284228411938e-05,-0.0014810493682742875,-1,,0
53,0.0031266847976436705,0.011950074762569174,0.0054443327857796615,0.8981976133668071,0.0008153605463328465,0.08046593374086752,32.051386873592755,11.657003337605559,11.054510995815379,11.054510995815379,True,163.9371123391899,7.21049219666527,1.8762018101921731,0.001732956320042639,-0.000473763821388071,-0.0013101164049814137,-1,,1
54,0.02264406368887727,6.68343817314856e-05,1.1992063500360677e-05,0.7967412457954355,0.07296926188493512,0.10756660218552028,40.23163900554685,15.881877550031401,8.015151728581548,8.015151728581548,True,135.3696325305836,7.411282445829409,0.7467262385090301,0.004720806718405284,0.015110042227691868,-0.0016976976120094162,-1,,0
55,0.08440024878198261,0.00047584010890820916,0.022831804756726803,0.7087364062290029,0.01460317313110199,0.16895252699227759,41.39958382354616,17.407718846377918,6.9987731503755075,6.9987731503755075,True,117.18566067201053,7.433138984009548,0.5649369172521932,0.005311524382467271,0.011143182289569507,-0.001504922934176942,-1,,0
56,0.027741895404245962,0.06062038915648981,0.0006402971288588427,0.5365459460828701,0.2704640281640661,0.10398744406346924,36.67148599216539,12.02848879756986,10.99727158405572,10.99727158405572,True,142.57609602482412,7.2937126850807354,0.3028694414189004,0.0023009816175161807,-0.0003522444753974363,-0.0019666625602997967,-1,,0
57,0.03127038742048086,0.05420605767270756,0.012616690052273881,0.8229540727791353,0.0694078187903042,0.009544973285098074,37.67335034224709,16.83259147749054,7.89456697255819,7.89456697255819,True,134.05111827998823,7.391587460741807,0.572574939525639,0.003537155158251268,0.010206596393572822,-0.0015958777590157618,-1,,0
58,0.0787107282593402,0.04673502334848412,0.004225949034525396,0.8119295828897767,0.03871441796967871,0.019684298498194835,40.034936465936624,10.21766702769833,12.606196726748358,12.606196726748358,True,179.25623452743133,7.357455141539748,0.5461693210976891,0.0036253955827487755,0.0019839315778858394,-0.0011001053847763704,-1,,0
59,4.3052714828793164e-05,0.0001633823302843773,0.048849953759850635,0.770570201216007,0.0027834846087993444,0.17758992537022977,41.83988453046809,13.57422296973455,9.310492966030727,9.310492966030727,True,148.77297066765786,7.4051524715523245,0.7489505537212012,0.005275999305033318,0.01105500807487533,-0.0015230509148226692,-1,,0
60,5.69984594839053e-05,0.11533274512970815,0.2554234456347103,0.6181684513395802,0.006828645139405386,0.004189714297112089,32.80671810597592,12.253342077966597,11.883652185061544,11.883652185061544,True,150.11604043298925,7.2175295706654214,0.2451703480235021,0.0013088973339257539,-0.0010187707002241445,-0.0025535085086989765,-1,,0
61,3.034698402568689e-05,0.00422789558214414,0.0011364845528302424,0.7476494852943366,0.12678868463509022,0.1201671029515731,41.25189568896908,12.425084479546937,10.383238106772751,10.383238106772751,True,158.86358767171424,7.390738255444971,0.5919344158843727,0.0046187701909685495,0.006076053931976453,-0.0013705102314625595,-1,,0
62,0.11290723825228631,0.02099071807532242,0.024471208491748983,0.7382764904073995,0.07643846944682442,0.026915875326418367,34.87717806657848,11.047412883133884,11.501563802325995,11.501563802325995,True,156.12808741645964,7.290513408113795,0.6345627616541454,0.0021357310836977676,-0.0006379740061005415,-0.0013963415256101621,-1,,0
63,0.03434338217479612,0.009043000046183044,1.4878971415470542e-05,0.771777424290427,0.0558776282408485,0.12894368627632996,35.59894276346289,15.165035906043592,8.303806948996256,8.303806948996256,True,132.44225113509455,7.33261906803442,1.0453594724673947,0.0028989787312634387,0.01120049701649065,-0.001903766267370561,-1,,0
64,0.006816535138621871,0.16238577161391302,0.00028663560658758705,0.45161582712689086,0.002806541107355497,0.3760886894066312,35.63473191364713,12.584476525083701,9.735248653399697,9.735248653399697,True,122.89914394039182,7.276923620808751,0.5989575231707103,0.00248521159890759,-0.0024361378190640667,-0.0018850827617628825,-1,,0
65,0.29566692556886004,0.013138659595045234,0.040101397746410763,0.39947811169778236,0.02005409300210923,0.23156081238979237,37.15298594532488,13.086006465864028,8.509911237917672,8.509911237917672,True,102.98920940907011,7.318009404881287,0.3236698894274802,0.0026256150435085973,-0.000819433456876455,-0.0019661844257430816,-1,,0
66,0.01953709848472165,0.0032021707701589924,0.0006491245389527084,0.759853247730633,0.08752664624607044,0.12923171222946314,34.284232561292015,12.608667413722262,10.07122883649405,10.07122883649405,True,148.0908110500498,7.281635649296209,1.1400510298543045,0.0023008352942098698,0.002708604270154905,-0.0015975221186107459,-1,,0
67,0.0056580557416818405,0.0017028566036627279,0.0011705259563803523,0.6849807965040736,0.0673376855546073,0.2391500796395944,35.44288017409295,13.636040342190594,9.04784932548034,9.04784932548034,True,134.4084773561629,7.299189273510734,1.1709169134345865,0.0027353865989085797,0.005276705737203569,-0.001765005728277482,-1,,0
68,0.013347722093435932,0.02308692960354011,0.007398886339072416,0.6353968763692178,0.008739762616273345,0.31202982297846027,41.592880235530174,11.52853717027143,10.453693242163498,10.453693242163498,True,148.51515902163786,7.368204757688611,0.7361171216374928,0.004786781762512404,0.003991593070832242,-0.001355919899116372,-1,,0
69,0.16272085541381337,0.07195118620033106,0.002181326567725257,0.46901089189539985,0.008634062105869138,0.2855016778168613,40.185520312139914,16.21067248073726,7.1430537483198,7.1430537483198,True,102.18271511705123,7.388080129785954,0.3645363576635596,0.004188190901454079,0.002341378286119918,-0.0017379043268254844,-1,,0
70,0.397472335279291,0.0076271856981281255,0.07406761783772446,0.2507497936813121,0.13819242116225272,0.13189064634129172,39.64012709361642,17.454281964841552,6.4244816306685175,6.4244816306685175,True,78.29759826353052,7.342740674943788,0.13329721983694215,0.002788516443388618,-1.0136006201243884e-05,-0.0026854721985532072,-1,,0
71,0.00412274202376955,0.16908565096926942,0.026172365553858743,0.7363820959962435,0.0015446195472001484,0.06269252590965853,32.48565637980539,17.860282074576684,7.604575184410102,7.604575184410102,True,121.67410173700758,7.318214969257339,0.5682162712169746,0.0020458262964330306,0.00463107087982569,-0.0019460097168711226,-1,,0
72,0.0016341437607565608,0.01025353510628209,7.237541422612531e-05,0.8497230974713744,0.1361593558168565,0.00215749243050432,34.2575967888244,17.99738305614863,7.444468919887782,7.444468919887782,True,129.16874092033575,7.354416925348899,0.8576121380694774,0.002639580997133689,0.01645509669651494,-0.002033271960233446,-1,,0
73,0.008051063926160878,0.06903867883472087,0.005066010479974991,0.7245884069964893,0.1905208080491546,0.0027350317134994194,33.47787212003169,12.182874802369744,11.232550862046473,11.232550862046473,True,157.22257825382098,7.279302652807545,0.5170881511055225,0.0018412559222492563,-2.613140197334142e-05,-0.0017319683411694323,-1,,0
74,0.0007421975207921793,1.6846461398303518e-06,4.657143748157802e-06,0.440352537041355,0.0008756691668013173,0.5580232544811634,35.7319867023906,14.71459237474878,7.639321351236805,7.639321351236805,True,105.36796987101536,7.281928822744698,1.3825817764112152,0.002957804388915342,0.0036804846568626523,-0.0019310220678728806,-1,,0
75,0.06971563937835831,0.009998898002736248,0.0038012765909404807,0.8170449526784181,0.07750608048914741,0.021933152860399513,30.962142492151294,11.802488634349377,10.891645900273886,10.891645900273886,True,153.81130392637257,7.22836127431812,1.2457414928323178,0.0015047183552853128,-0.0032554952490753664,-0.0013564799856133937,-1,,0
76,0.00027223941416821385,0.0030384640470514346,0.01328868023402409,0.941909741376144,0.0008494021173923516,0.04064147281122,37.922902108499684,15.232605195059602,8.569180484744955,8.569180484744955,True,149.0271427139278,7.3686364234927675,1.2654124876518191,0.0038009599328415293,0.02440650540779472,-0.0021456170003716127,-1,,0
77,0.015415699664777112,0.0029351732296418144,0.004256319525070556,0.5805941692271112,0.3238423771002112,0.0729562612531882,36.87553500807441,14.44225329730224,9.222070882495364,9.222070882495364,True,133.05895921942218,7.335856264979845,0.3177569292606744,0.0026539036260751505,0.001259279018785829,-0.001910211028826146,-1,,0
