idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
0,0.46594480947770056,0.087866665217105,0.15532437571664243,0.022990156378580696,0.10933630354716913,0.15853768966280224,37.28747258267156,25.971960993801307,4.43439167964553,12.79987254592033,True,138.49345575705252,7.178120747416286,7.034405106951093,0.004033339489730928,0.09407738168700971,-0.0011183170723098688,7,,2
1,0.3343191936156723,0.08878519021683512,0.028335218906398046,0.4493473155054905,0.0236807693560539,0.07553231239955016,36.368416348712366,17.35443369719124,4.902489406547024,15.598112445889997,True,192.8467934988478,7.068980389046177,8.92879445723186,0.003000914444960418,0.09433897888652752,-0.0022822910636036537,4,,2
2,0.04128015082840054,0.24230841528862104,0.06586543365067411,0.21485033364174833,0.34916912223981295,0.08652654435074307,37.13367642388424,34.651607631923845,1.5124545307021835,15.595170971191928,True,229.26708519274163,7.08472684612827,10.664927692165932,0.0038811313942969743,0.24297482638349543,-0.006344257354467723,4,,2
3,0.27951566141288053,0.3671585816486048,0.237662533294817,0.003397070580888166,0.010724298481229435,0.1015418545815801,33.4046312547468,24.26995060581453,4.707059955394407,19.761706194914378,True,201.1021789607287,7.184499000069975,4.93210590552065,0.0026796862195564296,0.04003666254247588,0.0005885485136939788,4,,2
4,0.20492968555913985,0.42533071502595526,0.26419209926474163,0.03561199387279765,0.05006607698204515,0.019869429295320217,35.72638144096798,35.56904033177075,2.7736567953093245,15.329350046515554,True,195.18390611519638,7.382341385482385,1.1944933188570643,0.003814104250336315,0.031402673188196784,0.00041734351109901156,-1,,0
5,0.5951165468780549,0.17831900688192787,0.11654381122894,0.03847007732677959,0.05237733950479846,0.01917321817949923,30.726864661417324,28.864619675395872,1.2552690244167013,9.91154570387915,True,105.48621218610863,7.243834007252419,3.496028515414737,0.0021930434320533067,0.010927186459282064,0.0012071068851028364,-1,,2
6,0.44160552701129335,0.029882378383099793,0.3578826168368755,0.13695520131447375,0.02108208846862815,0.01259218798562937,37.931574063910986,30.79160997805162,4.032350960341495,10.34083486940355,True,130.60707710356317,7.358803304346352,3.0424281713484773,0.004803506623754678,0.06357534177155393,-0.0008238545391074053,-1,,2
7,0.42456868863871494,0.1592658675389868,0.12472654039183038,0.05667102797466827,0.19609018398529748,0.03867769147050208,32.25431161755842,39.26745060987258,4.572484485288791,8.79455032531216,True,112.19163574238485,7.249650314878508,4.316637888425246,0.002766053312272947,0.0562813243960264,-0.00013498446623125515,25,,2
8,0.5306739074009421,0.034308515365561724,0.03625936709229331,0.2325533264711167,0.12830557000140574,0.03789931366868066,37.34060196488514,19.86596769629919,2.8668840149081367,13.017891440631848,True,146.08648345508738,7.221864381265553,6.142735712869185,0.003837605635286476,0.07245454549257688,-0.0012269777296642546,9,,2
9,0.11288427554568255,0.10874820504077304,0.15040991890798922,0.48232163798283495,0.14044814061855565,0.005187821904164768,28.525645189446745,18.857237301688695,3.7321958129698185,18.53490157528082,True,0.15292049684185227,4.409860215598504,51.08632986597035,4.526450495472402e-06,1.0308647088259013,-0.00792847992249541,3,,2
10,0.374075527505761,0.07036453635077124,0.3000999657125956,0.09859855869034063,0.09841223573412604,0.05844917600640539,36.93714587089381,39.187743310855254,2.3033014325526078,9.14266400107752,True,122.92200460028458,7.308000468801149,4.235777248631313,0.0045180692830898315,0.09090695057354381,-0.0013909832314210097,28,,2
11,0.35482657702660475,0.26530482517267845,0.1517237447175141,0.10121375183468435,0.04779441892641709,0.07913668232210126,32.445516472418426,26.738895281895196,1.7578854363371428,13.809208387588813,True,155.5158327753689,7.16252405491935,5.778440358805564,0.002453766604399536,0.05523293346074596,3.141425196073612e-05,5,,2
12,0.5884909522267373,0.22770806453585007,0.03454363139867127,0.024227660952168623,0.05825170069037627,0.06677799019619637,29.55905806402566,26.892623155648344,1.9076373962035365,10.769104935149173,True,108.0912645535574,7.160300630214547,4.908154718771417,0.0018305085591495828,0.01905644939627364,0.0013202258878672643,9,,2
13,0.10264749413109078,0.20469745784179816,0.32573942448558807,0.12963956658773879,0.23460360884823964,0.0026724481055444924,36.03776793619012,25.92879797180827,4.33071278423135,21.98277358053198,True,272.26424243764876,7.282414203139087,4.592809105075384,0.0037079761551687424,0.1340047322454305,-0.003397842799410102,26,,2
14,0.3600306896767131,0.010030020738367895,0.20659747456909142,0.11688281051438373,0.017099606091573676,0.28935939840987007,36.40318122402699,22.809166034551026,4.329039205580804,15.122458588269572,True,167.14774858852888,6.941120125026022,11.447972354375226,0.00290818250758598,0.14212089937750308,-0.0028152700846350233,3,,2
15,0.1321454338210546,0.356482584855871,0.3427956348222079,0.0004456190103326477,0.14040171910486002,0.02772900838567387,37.65717228996162,24.686959475754364,2.1533124157209764,27.81479911914208,True,310.4017916028333,7.382029970664679,1.3600524436713017,0.004328647924797949,0.05593029447056662,-0.0003678212448941117,-1,,0
16,0.2731920556281274,0.03554683474433289,0.3118835413508364,0.052304378614619236,0.009164761773623588,0.3179084278884605,36.189946047699706,18.493812090232744,1.7996328099004333,23.04830285510636,True,0.25757104287128385,4.443833343607101,56.51921228914317,1.1380292918750678e-05,1.0671953439278212,-0.00626061702450987,2,,2
17,0.2986906698415158,0.015028572209115243,0.04141829876868821,0.17219888674359712,0.047254115791377754,0.4254094566457058,28.088347237012066,34.673109437553464,3.6594034263681285,9.93068752007294,True,1.1337688425719827,4.627034900004072,42.43142065533317,1.0690525609227253e-05,1.00147075016035,-0.008771923521432773,3,,2
18,0.2242900880510983,0.07846591877132697,0.002289997170386368,0.10350934560626236,0.4902019068482481,0.101242743552678,36.461984543516024,34.5182257755492,2.83566310215336,12.377373501970869,True,166.75056425374365,7.116945217013978,9.427017829031268,0.003744362806710446,0.18303414122518014,-0.003947723722191597,5,,2
19,0.36837135267134524,0.44253729877658193,0.15885309205239143,0.012829229764104054,0.015395547869607935,0.0020134788659696016,34.82489435143472,18.494924953191436,1.4581202941438938,22.252898222491115,True,198.68968477522589,7.342896822348694,1.0821083951023185,0.002875043097830254,-0.009530736624852466,0.0010693979573732824,-1,,0
20,0.12067141936849177,0.2884530875926721,0.24281146448962718,0.05984750334357579,0.005541589189529238,0.28267493601610405,36.02083554148566,26.777405153578314,3.2609444259247553,21.992917006685357,True,0.11552476364982253,4.30451623239591,78.00453243138894,9.37438194824359e-06,1.843272910925696,-0.006613999899911142,2,,2
21,0.33695041239286483,0.39222771760050534,0.24502215968509675,0.004353017322344944,0.0014756330808629319,0.019971059918325252,37.17998628899231,30.86795800001477,3.2143176026319833,14.223732606852183,True,164.9603954153349,7.396111151781785,0.9698998484376983,0.004247404945844546,0.012010180588936473,0.0009054091297432379,-1,,0
