idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
0,0.3464419596867488,0.11806892623094595,0.1858849881729097,0.04289008545105263,0.21362774700533785,0.09308629345300504,30.568512242015466,20.194783506164985,3.6704578352958794,True,54.743713781324864,7.187441121438312,1.337636258232576,0.037090183332576236,-0.00034815557928164365,-0.01352675399091643,-1,,0
1,0.28548450033970857,0.17106497774846438,0.10805877476708714,0.3070145309913881,0.05897970743566737,0.06939750871768459,25.235880510850116,17.696085759412426,5.152192725291036,True,8.604350497894478,6.474520135857034,3.102482320566477,0.04101996281075932,0.004013914270611298,-0.009377983122296773,-1,,2
2,0.17912081338879876,0.3749003827103642,0.17267242149653042,0.22156124046805034,0.0008269083338090071,0.0509182336024471,32.225281180283154,33.927362688288525,1.3555098540730217,True,29.0915869007532,7.246135166693615,0.3779874843610764,0.03573869321954888,-0.001995519604482467,0.006672475608343279,-1,,0
3,0.4336632492195008,0.07702347072360714,0.0945266892408899,0.01461162066291276,0.01955742538213531,0.3606175447709539,38.4353032522257,22.016803259162813,6.244462156897026,True,0.9040740563160562,6.094432183187582,3.763425946016073,0.057673153432719025,0.022628218962304332,-0.017408069725484723,-1,,2
4,0.21601394049091321,0.3242369658703095,0.11526152662468621,0.003925825312584797,0.23987437859037494,0.10068736311113148,33.2191056431426,19.579568507273795,1.2283437201474345,True,23.52013698638834,7.253470481861387,0.41750185097260817,0.03135812147284585,-0.00016198682014879816,0.005833823541804138,-1,,0
5,0.0705131201125724,0.02653722174654827,0.22720522336750673,0.3782890590376722,0.02618052112467955,0.2712748546110208,36.805819645794294,37.34737493358175,3.132482662141072,True,102.69263163492761,7.183525573579743,1.1799015308866518,0.04535864348299017,-0.02968544834079994,-0.0007918131861584184,-1,,0
6,0.38813069046143334,0.06450806128375332,0.1538675296452953,0.08441413674376749,4.615648615194484e-05,0.30903342537959855,39.51698841102174,19.056939307885763,2.1911268879560373,True,55.835833740016284,7.267728681718493,0.3731530746999297,0.06413637303956989,-0.025364910986379722,0.007789910843424613,-1,,0
7,0.27046914713153286,0.08026446784487576,0.16608981601463416,0.27630571004557897,0.03996367396325223,0.16690718500012608,33.53299007672517,45.12751437673122,3.4698768994413305,True,77.94283299708715,7.097781987867907,1.2950606780182137,0.04057226526032161,0.03367641755627757,0.00013324596913259762,-1,,0
8,0.13768753718464993,0.4002122847728301,0.25301584418359463,0.17219099047619899,0.016540194083986163,0.020353149298740193,29.258163899506783,46.61857588495633,6.041012902950338,True,1.0354474263564768,6.296176614784387,3.9123289688156992,0.04079301825231173,0.011448552411456148,-0.030315259258025716,-1,,2
9,0.5219466963747984,0.117253354944237,0.0509144891489179,0.002185291769744129,0.03149035100664496,0.2762098167556576,27.26409905050446,46.53419446124182,5.812219467983702,True,1.491405738117553,6.239820596585544,3.374003255562081,0.040922096306978115,0.019066166543819728,-0.013075533821631432,-1,,2
10,0.3679470999114445,0.013205208470109404,0.3362687284995541,0.006944549950091751,0.07804567073121052,0.1975887424375899,31.2114039410639,47.53365147458456,4.230378279263467,True,56.85484282368004,6.871399276241722,1.5893690031259706,0.03641566119825014,0.038155475102444145,0.0012874293939902472,-1,,1
11,0.42169860458578073,0.13666338636195807,0.04837895130824357,0.27380502202028206,0.013899676660095884,0.10555435906363975,31.274429440044877,44.51236939674939,5.782761477076778,True,2.4688981559504755,6.267231163458735,3.9285636467309515,0.039834369665110295,-0.017577217447395422,-0.013080355894187106,-1,,2
12,0.14373103822318456,0.058264899552042365,0.08920417077019024,0.14919420573635406,0.1291969016671055,0.4304087840511232,25.534047001725693,36.03229773688915,2.2880576364625798,True,28.669126134510762,7.271032190226804,0.5911796343030292,0.04841299830534807,-0.043495914657198334,-0.004601938127246543,-1,,0
13,0.45601206924607496,0.02260343016204045,0.1458635278611603,0.2597330351839793,0.022948898960434255,0.09283903858631072,29.948191832335418,23.194091331296566,3.7445541888293046,True,65.61601929776029,7.105947916958725,1.717046179041761,0.04138710186838154,0.0413639387957933,0.00035349528983812497,-1,,1
14,0.4299245987952792,0.03224879582627178,0.005869117308136875,0.11759444013990163,0.018021408339089145,0.3963416395913211,28.742867730814375,27.392536495063556,6.30353478833288,True,0.44928012599522904,5.971388705369057,4.101633744011166,0.04759280490307818,0.019127835035056304,-0.006300462286019166,-1,,2
15,0.3123213201570996,0.01530695807726319,0.2651627913122893,0.3216001556804866,0.005158756238097377,0.080450018534764,42.931734615183586,15.029660701366767,2.1056212771989795,True,81.17656319977897,7.16884557560997,0.8631004535573709,0.05759756258898536,0.02006695339340812,0.00110148587663652,-1,,0
16,0.27911498307164007,0.09923570640260809,0.017811470642008304,0.337489445604392,0.028165389855085106,0.23818300442426638,32.750372780034624,31.921150730641553,5.329841311117973,True,9.731758224787896,6.537956118310427,3.6884559288827807,0.04605095383845781,0.016667382568010383,-0.008053262875608178,-1,,2
17,0.053818334338870386,0.08015921897613423,0.04655766012693367,0.7989082420770168,0.002409511879436093,0.018147032601608812,33.92546072579269,40.01568765311332,2.1433434889486804,True,71.60982608316341,7.361241284278033,1.0889460534892401,0.0430357734437333,-0.031347960707072575,0.003190884516865476,-1,,0
18,0.0929056311028236,0.4035081258554492,0.06054598626755251,0.03473088666715114,0.3474246064869835,0.06088476362003999,27.498127643553314,11.320956986629426,4.020018687918442,True,40.42120935638326,7.068760155344693,1.469452438378858,0.03191529494562677,-0.004924950001044492,0.00032258738536120914,-1,,0
19,0.19215592982916108,0.039772382378965895,0.18112429183535386,0.36412148388583565,0.039234350342325516,0.18359156172835803,28.587425273764126,15.45234899272122,1.6791498446922561,True,27.67196558314792,7.044265727058623,0.5390826752764141,0.04873302914480307,0.021187051804099927,-0.0014993899834888477,-1,,0
20,0.20029720510001128,0.0241624460675632,0.229921775284393,0.2364735140960309,0.003041746700572321,0.30610331275142927,40.21919043315576,43.15921878246966,5.566418635175874,True,7.834193740152118,6.462401127667994,3.4784592621334722,0.05283304730331229,0.011442672233502897,-0.005186887542698482,-1,,2
21,0.23461360625209957,0.09390469830983829,0.1398666800745308,0.08214831417520801,0.36706501758130894,0.08240168360701434,44.30855418169148,33.015042472465154,5.821999586800324,True,5.258743959511308,6.241034209247783,3.495455934348302,0.061508318886041635,-0.008181468296832552,-0.020917635693908074,-1,,2
