idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
0,0.1351796264404011,0.0523384333341993,0.5100151214308846,0.10836816173694946,0.00493254021871866,0.189166116838847,40.479120971119265,27.555137590082094,4.9252672593503775,4.9252672593503775,True,64.76115272657259,7.309785203397638,0.06491921128989082,0.002274990315758766,8.821330235616593e-05,-0.004067061267740743,-1,,0
1,0.0931873801475246,0.026084982901221118,0.5867019154119906,0.06068954103840481,0.05393776806874858,0.17939841243211022,42.171958398227645,37.89472116237455,3.734598220039166,3.734598220039166,True,53.84258293231473,7.356929247540707,0.05073636990997906,0.0025541926370255047,0.0002842623071947639,-0.0035959764853894386,-1,,0
2,0.10733680044407337,0.21646168285820047,0.035892485489929696,0.219119509807716,0.10292528597668404,0.3182642354233964,26.88354695775299,49.024894065470235,2.5226108270398373,2.5226108270398373,True,42.13288678432569,7.332185465108167,0.17461549466689913,0.001299655806057317,0.0018693299965495862,-0.0017229625879277614,-1,,0
3,0.16035258486896836,0.2695584144330508,0.10633913936962344,0.09576069624502608,0.3404928559681535,0.02749630911517767,40.222794039807056,41.44257221107815,3.388419531759687,3.388419531759687,True,50.48530924887367,7.365077139816622,0.04594583978405782,0.0019404600606415464,0.00033372868656106883,-0.003227340684406346,-1,,0
4,0.48609291937295845,0.03955075172891894,0.31144566602845486,0.11959602789728953,0.029481715599988884,0.013832919372389289,27.562272653510917,28.015437515822686,4.198237368330677,4.198237368330677,True,48.01979312666833,7.204684618147222,0.08870976220767866,0.0006699571485819634,-9.002337805189943e-05,-0.0042580093139178155,-1,,0
5,0.3033871246565742,0.29321572406507285,0.04406933883887349,0.008947179526057442,0.21374088035272115,0.13663975256070104,32.41596048465163,47.07059955394407,2.6447590204469607,2.6447590204469607,True,37.26549729157,7.3142308499470765,0.06050443444237513,0.0012817751531693728,0.0003617163861522088,-0.002910020695087165,-1,,0
6,0.2684096060291243,0.31773877347762813,0.015357324247245749,0.31162707023208736,0.03101456677921944,0.055852659234694915,37.87730240161329,42.910464530833195,2.9482157730668748,2.9482157730668748,True,48.95293817149785,7.399915840944971,0.0783751902865182,0.0025522157126329045,0.0008018576684187266,-0.0019268532652022843,-1,,0
7,0.06707639861748653,0.07491188885119748,0.31704025310555006,0.13035487699333353,0.3921893205171616,0.018427261915270755,33.86828397654662,19.089548871391074,7.7857919935296795,7.7857919935296795,True,85.9175568820544,7.136246310839862,0.07449269766908619,0.0006805947834243088,-7.686483384715765e-05,-0.006300527604489217,-1,,0
8,0.2743787277313499,0.26088214323932507,0.20845580744620515,0.19196366984402347,0.03988930834503054,0.024430343394065822,41.552623439851644,35.26657596488259,3.7413221461651545,3.7413221461651545,True,54.501670084210936,7.36981992645108,0.054101098982992486,0.0024820622089480452,0.00028430225962486236,-0.0031620144228030143,-1,,0
9,0.41789865012503724,0.16431335285183646,0.09457536534830971,0.18572605581771223,0.028012925686523072,0.10947365017058117,40.161754801707474,24.181038725194735,4.766650968974791,4.766650968974791,True,61.14591837944222,7.351987834912968,0.08815352096267873,0.0027111049973125366,0.00018432835102515988,-0.003050213231400578,-1,,0
10,0.24738455769230333,0.07781162640141102,0.27710214172555414,0.2764980097716149,0.03383384965812969,0.08736981475098693,44.413960487898066,45.724844852887905,2.775991116214868,2.775991116214868,True,47.249314160298844,7.466947761540833,0.06814811817365268,0.004500415403881987,0.0009535627686326853,-0.0016870245884412311,-1,,0
11,0.17681250930696985,0.21517243561637334,0.09276390208465836,0.06871445405616934,0.26864197011954594,0.17789472881628324,40.56766994147524,17.785548314078703,7.276727042240217,7.276727042240217,True,79.39677660721192,7.259428251563408,0.07903689202233288,0.0020436906211198673,-0.0001151395484945058,-0.004428351389112133,-1,,0
12,0.23154086352253667,0.15880059964533022,0.004332490582407408,0.35598040204462883,0.13608844731747338,0.1132571968876235,28.085789841350955,37.32195812969819,3.281704023611326,3.281704023611326,True,52.87209998953623,7.324209652778723,0.16417662884355952,0.0012654981577810555,0.0010260039633966703,-0.002035938254772896,-1,,0
